address|clean_address|lat|lng|loc_type|num_results
Ah Mouy Pl, Kambah ACT|Ah Mouy Place, Kambah ACT 2902, Australia|-35.387506|149.048152|GEOMETRIC_CENTER|1
Ahern Pl, Monash ACT|Ahern Place, Monash ACT 2904, Australia|-35.412941|149.085654|GEOMETRIC_CENTER|1
Ahmatt St, Ngunnawal ACT|Ahmatt Street, Ngunnawal ACT 2913, Australia|-35.165607|149.108850|GEOMETRIC_CENTER|1
Aida Ball Cct, Forde ACT|Aida Ball Circuit, Forde ACT 2914, Australia|-35.173088|149.150189|GEOMETRIC_CENTER|1
Aikman Dr, Belconnen ACT|Aikman Drive, Belconnen ACT 2617, Australia|-35.236234|149.077459|GEOMETRIC_CENTER|1
Aikman Dr, Bruce ACT|Aikman Drive, Bruce ACT 2617, Australia|-35.236616|149.077311|GEOMETRIC_CENTER|1
Ainslie Ave, Braddon ACT|Ainslie Avenue, Braddon ACT 2612, Australia|-35.277409|149.140083|GEOMETRIC_CENTER|1
Ainslie Ave, City ACT|Ainslie Avenue, Canberra ACT 2601, Australia|-35.280479|149.132138|GEOMETRIC_CENTER|1
Ainslie Ave, Reid ACT|Ainslie Avenue, Reid ACT 2612, Australia|-35.278016|149.139498|GEOMETRIC_CENTER|1
Ainslie Pl, City ACT|Ainslie Place, Canberra ACT 2601, Australia|-35.280796|149.131827|GEOMETRIC_CENTER|1
Ainsworth St, Mawson ACT|Ainsworth Street, Mawson ACT 2607, Australia|-35.357622|149.097242|GEOMETRIC_CENTER|1
Ainsworth St, Phillip ACT|Ainsworth Street, Phillip ACT 2606, Australia|-35.348718|149.094371|GEOMETRIC_CENTER|1
Aird Pl, Farrer ACT|Aird Place, Farrer ACT 2607, Australia|-35.374492|149.094939|GEOMETRIC_CENTER|1
Airey Cres, Fadden ACT|Airey Crescent, Fadden ACT 2904, Australia|-35.403193|149.114741|GEOMETRIC_CENTER|1
Aitken Cct, Kambah ACT|Aitken Circuit, Kambah ACT 2902, Australia|-35.378143|149.055268|GEOMETRIC_CENTER|1
Akame Cct, Omalley ACT|Akame Circuit, O'Malley ACT 2606, Australia|-35.352393|149.115622|GEOMETRIC_CENTER|1
Akhurst Gr, Gordon ACT|Akhurst Grove, Gordon ACT 2906, Australia|-35.440917|149.082377|GEOMETRIC_CENTER|1
Akma Pl, Ngunnawal ACT|Akma Place, Ngunnawal ACT 2913, Australia|-35.169918|149.101669|GEOMETRIC_CENTER|1
Akubra Pl, Dunlop ACT|Akubra Place, Dunlop ACT 2615, Australia|-35.198268|149.017250|GEOMETRIC_CENTER|1
Akuna St, City ACT|Akuna Street, Canberra ACT 2601, Australia|-35.281123|149.134122|GEOMETRIC_CENTER|1
Alabaster St, Monash ACT|Alabaster Street, Monash ACT 2904, Australia|-35.413003|149.094061|GEOMETRIC_CENTER|1
Alan Watt Cres, Casey ACT|Alan Watt Crescent, Casey ACT 2913, Australia|-35.160047|149.096939|GEOMETRIC_CENTER|1
Alanbar St, Karabar ACT|Alanbar Street, Karabar NSW 2620, Australia|-35.366656|149.228334|GEOMETRIC_CENTER|1
Aland Pl, Fadden ACT|Aland Place, Fadden ACT 2904, Australia|-35.408236|149.122150|GEOMETRIC_CENTER|1
Alanson Pl, Isaacs ACT|Alanson Place, Isaacs ACT 2607, Australia|-35.359946|149.112376|GEOMETRIC_CENTER|1
